WGU Course,WGU Course Name,External Course,Provider,Transfer Status
C165,Integrated Physical Sciences,Biology 101 (SDCM-0001),Study,No
C165,Integrated Physical Sciences,Biology 101L (SDCM-0188),Study,No
C165,Integrated Physical Sciences,Biology 102 (SDCM-0022),Study,No
C165,Integrated Physical Sciences,Biology 103 (SDCM-0002),Study,No
C165,Integrated Physical Sciences,Biology 105 (SDCM-0003),Study,No
C165,Integrated Physical Sciences,Biology 106 (SDCM-0023),Study,No
C165,Integrated Physical Sciences,Biology 107L (SDCM-0242),Study,No
C165,Integrated Physical Sciences,Environmental Science 101 (SDCM-0005),Study,No
C165,Integrated Physical Sciences,Genetics 101 (SDCM-0062),Study,No
C165,Integrated Physical Sciences,Science 101 (SDCM-0004),Study,No
C168,Critical Thinking and Logic,CMC 232 (DAU-0284) & CMC 130 (DAU-0283),DAU,No
C168,Critical Thinking and Logic,Humanities 201 (SDCM-0243),Study,No
C168,Critical Thinking and Logic,PHIL102 (SAYA-0045),Saylor,No
C168,Critical Thinking and Logic,PHIL1310,Concorde,No
C168,Critical Thinking and Logic,Retail Management,Retail Mgt Cert,No
C170,Data Management - Applications,Computer Science 204 (SDCM-0218),Study,No
C170,Data Management - Applications,Cyber Opts,Per Scholas,No
C170,Data Management - Applications,CyberSecurity,Per Scholas,No
C170,Data Management - Applications,NOC Analyst,Per Scholas,No
C172,Network and Security - Foundations,Computer Science 108 (SDCM-0213),Study,No
C172,Network and Security - Foundations,CS402 (SAYA-0016),Saylor,No
C172,Network and Security - Foundations,IT Career Framework,edX,No
C172,Network and Security - Foundations,IT151 (OOSL-0102),Straighterline,No
C172,Network and Security - Foundations,Network Security,Per Scholas,No
C172,Network and Security - Foundations,Network Support,Per Scholas,No
C172,Network and Security - Foundations,Computer Science 202 (SDCM-0200),Study,No
C173,Scripting and Programming - Foundations,AWS Re/Start Cloud Fundamentals,Per Scholas,No
C173,Scripting and Programming - Foundations,Computer Science 109 (SDCM-0214),Study,No
